timestamp,kwh
2023-01-01 00:00:00,8.5
2023-01-01 01:00:00,8.2
2023-01-01 02:00:00,8.0
2023-01-01 03:00:00,7.9
2023-01-01 04:00:00,7.8
2023-01-01 05:00:00,8.5
2023-01-01 06:00:00,9.5
2023-01-01 07:00:00,12.0
2023-01-01 08:00:00,28.5
2023-01-01 09:00:00,35.2
2023-01-01 10:00:00,45.0
2023-01-01 11:00:00,48.5
2023-01-01 12:00:00,50.2
2023-01-01 13:00:00,49.8
2023-01-01 14:00:00,48.0
2023-01-01 15:00:00,45.5
2023-01-01 16:00:00,42.0
2023-01-01 17:00:00,35.0
2023-01-01 18:00:00,25.0
2023-01-01 19:00:00,15.0
2023-01-01 20:00:00,10.0
2023-01-01 21:00:00,9.5
2023-01-01 22:00:00,9.0
2023-01-01 23:00:00,8.8
