Date,Temperature,Rainfall,Humidity
2023-01-01,14.5,0.0,68
2023-01-02,15.2,0.0,65
2023-01-03,13.8,0.0,72
2023-01-04,12.5,0.0,75
2023-01-05,14.0,0.0,70
2023-01-06,15.5,0.0,66
2023-01-07,16.2,0.0,64
2023-01-08,13.2,2.5,80
2023-01-09,12.8,1.2,82
2023-01-10,14.5,0.0,75
2023-01-15,15.0,0.0,70
2023-01-20,16.5,0.0,65
2023-01-25,17.2,4.0,78
2023-01-30,18.0,0.0,62
2023-02-01,19.5,0.0,60
2023-02-05,20.2,0.0,58
2023-02-10,22.5,0.0,55
2023-02-15,24.0,0.0,52
2023-02-20,26.5,0.0,48
2023-02-25,28.2,1.5,50
2023-03-01,29.5,0.0,45
2023-03-05,30.2,0.0,42
2023-03-10,31.5,5.2,55
2023-03-15,32.8,0.0,40
2023-03-20,33.5,0.0,38
2023-03-25,34.2,2.0,45
2023-04-01,36.5,0.0,30
2023-04-05,37.8,0.0,28
2023-04-10,38.5,0.0,25
2023-04-15,39.2,0.0,22
2023-04-20,40.5,1.0,20
2023-04-25,41.2,0.0,18
2023-05-01,42.5,0.0,20
2023-05-05,43.2,0.0,18
2023-05-10,41.5,5.0,35
2023-05-15,40.8,0.0,30
2023-05-20,42.0,0.0,25
2023-05-25,43.5,0.0,22
2023-06-01,41.0,2.0,40
2023-06-05,40.5,5.0,45
2023-06-10,39.5,12.5,55
2023-06-15,38.2,15.0,60
2023-06-20,36.5,25.0,70
2023-06-25,35.2,40.5,75
2023-07-01,34.0,30.0,80
2023-07-05,33.5,45.2,85
2023-07-10,32.8,50.0,88
2023-07-15,31.5,60.5,90
2023-07-20,32.0,35.0,85
2023-07-25,31.8,20.0,82
2023-08-01,31.5,25.0,85
2023-08-05,31.0,30.2,88
2023-08-10,30.5,40.5,90
2023-08-15,30.8,15.0,85
2023-08-20,31.2,10.0,82
2023-08-25,31.5,5.0,80
2023-09-01,32.0,10.0,75
2023-09-05,32.5,5.0,72
2023-09-10,33.0,2.0,70
2023-09-15,32.8,15.0,78
2023-09-20,31.5,5.0,70
2023-09-25,30.2,0.0,65
2023-10-01,29.5,0.0,60
2023-10-05,28.8,0.0,58
2023-10-10,27.5,0.0,55
2023-10-15,26.2,0.0,52
2023-10-20,25.0,0.0,50
2023-10-25,23.8,0.0,55
2023-11-01,22.5,0.0,58
2023-11-05,21.2,0.0,60
2023-11-10,20.0,0.0,62
2023-11-15,18.5,0.0,65
2023-11-20,17.2,1.5,68
2023-11-25,16.5,0.0,70
2023-12-01,15.5,0.0,72
2023-12-05,14.8,0.0,75
2023-12-10,13.5,0.0,78
2023-12-15,12.2,0.0,80
2023-12-20,11.5,0.0,82
2023-12-25,12.0,0.0,80
2023-12-31,11.0,0.0,85
